Notion	Philosophe	Idée
Devoir	Weil	Les premières pages de <i>L’Enracinement</i> cherchent à délimiter les contours d’un concept fort d’obligation. Simone Weil propose une critique sociale radicale, à l’aune d’une exigence éthique absolue.
État	Alain	Dès l’Antiquité, le régime de la foule – l’ochlocratie – est distingué du régime du peuple – la démocratie. L’ochlocratie serait une dégénérescence de la démo cratie. L’émergence de l’État moderne, au xvii<sup>e</sup> siècle, modifie les enjeux de cette distinction. L’État est-il garant de la raison contre l’éventuelle violence d’une foule ? Jusqu’à quel point ?
État	Arendt	L'État totalitaire destructeur de toutes libertés. Hannah Arendt distingue l'État totalitaire – qui absorbe la totalité de la société civile – des autres formes politiques antérieures.
État	Arendt	Selon Hannah Arendt, nous ne sommes plus en mesure de savoir ce que l’autorité est réellement. Pour en ressaisir la définition, la philosophe procède à une analyse historique de l’autorité, en étudiant ses transformations, comprises comme une progressive dissolution.
État	Aristote	Dès l’Antiquité, on débat pour savoir si la vie commune a une origine naturelle ou conventionnelle. Les sophistes voient dans l’association politique le résultat d’un contrat. Aristote s’oppose à cette conception en argumentant en faveur de la naturalité de la cité.
État	Aristote	L'homme est par nature un animal politique. La cité – polis en grec – est naturelle à l'homme selon Aristote, dans le sens où elle seule permet l'accomplissement de sa nature propre. En effet, c'est au sein de la cité que les hommes dialoguent ensemble afin d'élaborer une communauté politique juste.
État	Foucault	De façon constante, Foucault refuse de réduire le pouvoir à un ensemble d’institutions et d’appareils qui garantissent la sujétion d’un individu dans un État donné. Le pouvoir n’est-il pas, en effet, moins lisible que les institutions qui en émergent ?
État	Hobbes	L'État assure la sécurité. Hobbes analyse les raisons pour lesquelles les hommes en viennent à s'associer afin de créer l'État.
État	Hobbes	Nous obéissons à l’État parce que c’est la condition de notre survie
État	Hobbes	Selon Hobbes, l’individu, dans l’état de nature, se trouve dans une situation de crainte permanente, puisque rien n’empêche autrui de se servir de sa puissance comme il le souhaite. Si cette condition complique l’institution d’un État, elle rend aussi nécessaires des conventions mutuelles, par lesquelles les individus renoncent à leur droit naturel de s’administrer eux-mêmes.
État	Hume	Dans l’<i>Enquête sur l’entendement humain</i>, Hume définit une convention comme un certain sens de l’intérêt commun, dont chacun éprouve l’existence en soi et qu’il reconnaît chez autrui. En quoi ce sens partagé participe-t-il de l’harmonie politique et sociale ? C’est ce qu’analyse Hume dans une page du Traité de la nature humaine.
État	Kant	Le cosmopolitisme, redéfini par Kant au xviii<sup>e</sup> siècle, exige de concevoir la sagesse politique non plus comme une question interne, mais dans la perspective internationale des relations d’État à État. Comment s’articulent alors droit et morale ?
État	Locke	Au paragraphe 159 du <i>Second Traité du gouvernement</i>, Locke indique qu’il y a bien des choses auxquelles les lois ne sauraient pourvoir par aucun moyen ; il faut donc abandonner [ces choses] à la discrétion de celui qui a en mains le pouvoir exécutif. Mais comment conjurer le risque d’un tel abandon ?
État	Locke	En 1689, dans <i>Le Second Traité du gouvernement</i>, Locke avait établi une distinction entre pouvoir législatif et pouvoir d’exécution des lois. En 1748, Montesquieu, lecteur de Locke, précise et affine cette répartition des pouvoirs.
État	Locke	Exilé à Amsterdam, fuyant les persécutions menées par Charles II contre les Whigs, qui soutenaient l’importance du parlement face à l’absolutisme royal, Locke rédige la <i>Lettre sur la tolérance</i>, dans laquelle il entreprend de séparer ce qui regarde le gouvernement et ce qui appartient à la religion.
État	Machiavel	 Un seigneur avisé ne peut tenir sa parole quand cela se retournerait contre lui, soutient Machiavel au chapitre xviii du <i>Prince</i>. Si la tâche propre du Prince est de conserver ses États, quelles vertus doit-il cultiver ?
État	Machiavel	Dans les <i>Discours</i>, Machiavel cherche à identifier les conditions sous lesquelles les républiques peuvent se maintenir. Il propose une analogie entre la cité et le corps, s’inspirant de la théorie médicale de Galien, pour qui la santé consiste dans l’équilibre dynamique des humeurs du corps. Comment donc retrouver cet équilibre, toujours en péril ?
État	Machiavel	La politique c'est l'art de gouverner. L'enjeu pour l'homme politique dans l'exercice du pouvoir est l'action. Ainsi le Prince doit-il, de manière pragmatique, savoir composer avec la fortune (<em>Fortuna</em>), c'est-à-dire les circonstances extérieures particulières.
État	Machiavel	S'affranchir des devoirs de la morale. Pour Machiavel, le réalisme politique suppose de s'affranchir des devoirs de la morale. Agir moralement est une chose, gagner et conserver le pouvoir politique en est une autre.
État	Marx	Dans l’avant-propos de la <i>Critique de l’économie politique</i>, Marx décrit le processus par lequel des formes d’organisations sociales hier encore formes de développement des forces productives […] se changent en de lourdes entraves. Alors commence une ère de révolution sociale, ajoute le philosophe qui inspire l’analyse que Simone Weil propose ici du phénomène révolutionnaire.
État	Marx	L’État est une superstructure qui protège les intérêts de la bourgeoisie
État	Mill	La seule raison légitime pour laquelle l’État peut user de la force contre un citoyen, c’est pour l’empêcher de nuire à autrui. A chaque fois que l’État contraint un individu pour son propre bien, il outrepasse ses prérogatives.
État	Mill	Ne pas intervenir dans la vie privée des individus. Mill affirme dans ce texte l'entière souveraineté de l'individu sur lui-même. L'État n'a pas à intervenir dans la vie privée des gens, sauf en cas d'actions pouvant nuire à autrui. Il ne doit pas chercher à nous rendre meilleurs.
État	Montesquieu	La séparation des pouvoirs, pour un État libre. Comment s'assurer que l'État aura bien pour fin la liberté ? La théorie de la séparation des pouvoirs, ou plus précisément de leur distribution, doit apporter les garanties nécessaires pour les citoyens.
État	Platon	Après avoir esquissé les contours d’une cité idéale, modèle qui permet de distinguer le juste de l’injuste, Socrate en vient à l’examen critique de constitutions politiques déterminées, et notamment de la démocratie. La constitution de cette dernière n’est-elle pas insaisissable ?
État	Platon	La politique doit reposer sur la connaissance du Bien et de la Justice. C'est en ce sens qu elle constitue l'objet d'une véritable science. En toute logique, les véritables savants, que Platon nomme les philosophes-rois, seront les mieux placés pour gouverner : Le philosophe-roi doit gouverner
État	Rancière	La démocratie est fondée sur le tirage au sort. Confier le pouvoir et l'État à des experts et refuser par principe le tirage au sort, qui était essentiel à Athènes, n'est-ce pas fondamentalement congédier la dimension populaire de la démocratie ? N'est-ce pas une manière de se débarrasser du dèmos ?
État	Rousseau	Aucun contrat ne saurait me demander de sacrifier ma liberté individuelle. si l’obéissance à l’État est légitime, c’est dans la mesure où celle-ci n’est pas incompatible avec le fait d’être libre. l’État légitime est donc celui qui gouverne d’après des lois qui expriment la volonté générale, une volonté purement rationnelle qui est en chacun.
État	Rousseau	Le contrat social que décrit Rousseau passe par l’aliénation par chacun de son droit naturel, l’individu subordonnant sa personne et sa puissance sous la suprême direction de la volonté générale. Mais, paradoxalement, cette aliénation primordiale est la garantie de nos libertés.
État	Rousseau	Selon Rousseau, il n'est pas pensable de renoncer à sa liberté en se soumettant à l'État. Il faut donc concevoir nn pacte social pour se protéger et être libre.
État	Simone Weil	Marx pense que c’est par l’obéissance au parti qu’on arrivera à faire progresser l’humanité. Mais le parti, comme toute structure de pouvoir, a pour effet premier d’écraser l’individu qu’il domine, et donc de maintenir le problème qu’il promettait de résoudre. Il faut être plus radical, et refuser tout pouvoir, même celui du parti : il faut être anarchiste.
État	Spinoza	Au début du chapitre xvi du Traité théologico-politique, Spinoza affirme que le Droit Naturel de chaque homme se définit non par la saine raison, mais par le désir et la puissance. Dès lors, l’obéissance raisonnée à un souverain, fût-ce dans un État démocratique, ne serait-elle pas contraire à la liberté ?
État	Spinoza	L'État oeuvre pour la liberté. Pour Spinoza, l'État ne peut avoir d'autre fin, c'est-à-dire d'autre but, que la liberté. C'est là le sens même de son institution.
État	Tocqueville	En 1831, une mission parlementaire sur le système pénitentiaire en vigueur aux États-Unis fournit à Tocqueville l’occasion d’étudier une démocratie qui lui semble apaisée. J’avoue que dans l’Amérique j’ai vu plus que l’Amérique ; j’y ai cherché une image de la démocratie elle-même, de ses penchants, de son caractère, de ses préjugés, de ses passions, précise-t-il pour présenter son oeuvre.
État	Tocqueville	L’État n’est jamais aussi dangereux que lorsqu’il prétend nous rendre heureux
État	Tocqueville	Le doux despotisme tient les individus en servitude. Tocqueville, parti en Amérique afin d'observer le fonctionnement d'une démocratie naissante, nous met en garde contre les risques de doux despotisme pouvant menacer tout régime démocratique.
État	Weber	 Partout le développement de l’État moderne a pris pour point de départ la volonté du prince d’exproprier les puissances “privées” indépendantes, énonce Weber lors d’une conférence sur le métier et la vocation d’homme politique, en 1919. Afin de dégager l’éthique propre à l’activité politique, le sociologue interroge alors la spécificité de l’organisation sociale qu’est l’État.
État	Weber	L'État détient le monopole de la violence légitime. Weber définit l'État contemporain comme un rapport de domination de l'homme sur l'homme par le monopole de la violence légitime.
État	Weber	L'éthique de conviction et l'éthique de responsabilité. Weber distingue deux éthiques, l'éthique de la conviction et l'éthique de responsabilité. Selon lui, l'éthique propre au politique est celle de la responsabilité.
Inconscient	Alain	L'idée d'inconscient déresponsabilise le sujet. Pour Alain, l'hypothèse de l'inconscient est inutile : le recours à la complexité du corps, des instincts, suffit amplement à expliquer l'obscurité que la conscience éprouve souvent. Elle est de plus nuisible d'un point de vue moral parce qu elle tend à déresponsabiliser le sujet.
Inconscient	Alquié	L'artiste et l'inconscient créateur. Ferdinand Alquié expose le projet du poète surréaliste André Breton sur l'écriture automatique. Elle est l'expression de l'homme dans sa totalité, elle en révèle la vérité.
Inconscient	Bergson	Dans <i>Matière et mémoire</i>, Bergson critique la réduction de l’esprit à ce qui se présente à la conscience, en soulignant que cette présence peut comprendre des degrés. Cette thèse est prolongée, dans L’Énergie spirituelle, par l’étude des souvenirs que notre attention à l’action présente nous porte à négliger et qui ressurgissent à l’occasion du rêve.
Inconscient	Bourdieu	Dans les <i>Méditations pascaliennes</i>, Bourdieu essaie de mettre au jour les présupposés propres aux pratiques des professeurs et des intellectuels. Une telle enquête se fonde sur l’hypothèse que la raison savante cache les révélations les plus inattendues sur ce que nous voulons le moins savoir de ce que nous sommes.
Inconscient	Bourdieu	Nos façons de penser et d’agir sont profondément structurées par notre milieu social
Inconscient	Bourdieu	Nous ne sommes pas condamnés à avoir un rapport purement passif à notre habitus. La connaissance sociologique a pour effet de dévoiler la réalité des rapports sociaux ; elle permet de mieux saisir ce que la société a fait de nous, et éventuellement d’imaginer d’autres possibles.
Inconscient	Droit & Sperber	Les sciences cognitives – qui étudient le fonctionnement et les compétences du cerveau – font l'hypothèse d'un inconscient cognitif : nous n'avons pas – ou très peu – conscience de tous les apprentissages complexes que notre cerveau élabore et active en permanence. Le sujet n'a qu une vision partielle de lui-même.
Inconscient	Durkheim	La vie psychique ne se réduit pas à la conscience. Le sujet n'a pas toujours conscience des raisons pour lesquelles il ressent certains affects ou pense certaines idées. Une partie de son activité psychique est inconsciente et pourtant agit sur lui.
Inconscient	Erickson	Les « symptômes névrotiques » devraient plutôt être considérés comme des apprentissages devenus inutiles. L’inconscient est d’abord un système de construction d’automatismes. C’est sur ses ressources infinies qu’il faut se reposer pour changer nos comportements, non sur le processus intellectuel de compréhension, qui laisse encore trop de place à la pensée consciente.
Inconscient	Freud	 Comment parvenir à la connaissance de l’inconscient ? : si connaître suppose d’avoir conscience de ce qu’on connaît, alors il semble impossible d’établir quelque chose comme un inconscient. Revenant en 1915 sur quelques malentendus suscités par son hypothèse de l’inconscient, Freud montre que celle-ci se justifie avant tout par le caractère lacunaire de la conscience.
Inconscient	Freud	 Compression, déplacement, condensation : les métaphores mécaniques ou physiques abondent sous la plume freudienne pour caractériser, à partir de l’analyse du rêve, mais sans s’y réduire, le fonctionnement d’une pensée que Freud comprend comme inconsciente. Ainsi, la condensation serait déterminante dans la vie de l’esprit. La pluralité des interprétations n’en est-elle pas la conséquence nécessaire ?
Inconscient	Freud	Dans <i>L’Interprétation du rêve</i>, Freud s’élève contre ceux qui considèrent les récits de rêve comme des improvisations arbitraires concoctées dans l’embarras et propose de les envisager en tant que textes sacrés, c’est-à-dire des objets signifiants et doués d’une logique propre. Mais pourquoi cette logique n’apparaît-elle pas explicitement ?
Inconscient	Freud	L'hypothèse de l'inconscient est nécessaire. L'inconscient est une hypothèse nécessaire qui s'inscrit dans une démarche résolument scientifique.
Inconscient	Freud	L’inconscient est constitué de représentations refoulées
Inconscient	Freud	La nécessité de la morale contre les pulsions inconscientes. Selon Freud, l'homme est naturellement un être agressif, en conflit avec ses congénères. Le rôle essentiel et difficile de la civilisation consiste à contenir cette agressivité primaire, notamment par des interdits moraux.
Inconscient	Freud	Selon Freud, le psychisme – c'est-à-dire l'ensemble de notre intériorité – ne coïncide pas avec la conscience. Nous vivons dans l'illusion d'une complète transparence à nous-mêmes, alors que nous sommes traversés de représentations et de pulsions inconscientes.
Inconscient	Kant	Le début de l’ <i>Anthropologie du point de vue pragmatique</i> est consacré à l’examen de la conscience de soi, qui élève infiniment l’homme. En étudiant le retour réflexif de l’homme sur lui-même, Kant doit se confronter à la possibilité de représentations inconscientes.
Inconscient	Leibniz	Dialogue entre Philalèthe et Théophile, les <i>Nouveaux Essais</i>, rédigés par Leibniz en 1704, sont une réponse directe à l’<i>Essai sur l’entendement humain</i> publié par Locke, en 1689. C’est l’occasion pour Leibniz d’exposer une théorie des connaissances infimes qui, par effet de seuil, échappent à la pleine conscience.
Inconscient	Leibniz	Il est impossible d'avoir une claire conscience de toutes les perceptions que nous avons en permanence. Les petites perceptions sont donc inconscientes, et pourtant elles produisent des effets en nous.
Inconscient	Lévi-Strauss	L'inconscient symbolique, créateur des mythes fondateurs : Toutes les formes de socialisation dépendent d'une structure universelle inconsciente à partir de laquelle s'élaborent les grands mythes et les symboliques propres à chaque culture. Le subconscient est défini ici comme la manière propre à chaque individu de s'approprier ces mythes et ces symboles.
Inconscient	Nietzsche	L’art n’est pas qu’une création de la raison et de l’intelligence humaine. Il implique toujours une dimension de folie, de laisser-aller, de débauche : une perte de contrôle qui permet précisément aux puissances du corps d’émerger dans ce qu’elles ont de créatif et de chaotique.
Inconscient	Nietzsche	La conscience n’est qu’un phénomène superficiel
Inconscient	Nietzsche	Le paragraphe 119 du deuxième livre d’<i>Aurore</i> est intitulé Vivre et imaginer. Nietzsche, analysant la vie des rêves, y esquisse une théorie de l’inconscient où notre corps jouerait le premier rôle.
Inconscient	Popper	<i>Conjectures et réfutations</i> est un ouvrage polémique qui se fonde sur la distinction entre théorie et pratique. Popper y rappelle, contre certains engouements, politiques ou intellectuels, que l’éventuelle valeur d’une pratique ne saurait suffire à fonder ses prétentions théoriques. Ainsi, la psychanalyse ne confère à ses théories aucune immunité contre la critique.
Inconscient	Popper	L'hypothèse de l'inconscient n'est pas scientifique. La psychanalyse ne peut pas prétendre au rang de science car elle esquive par avance toute expérience qui la remettrait en cause. Or dans l'optique de la psychanalyse, l'expérience vient toujours vérifier la théorie : il est donc impossible de la contredire.
Inconscient	Russell	Il y a un mystère du rêve. Relève-t-il d’une conscience atténuée ou d’un inconscient véritable ? Est-ce son aspect fragmentaire et discontinu qui lui confère sa part de mystère ? Dans le cadre d’une réflexion sur les croyances vraies et les croyances fausses, Russell précise ici la nature du problème théorique posé par l’étrangeté de l’expérience du rêve.
Inconscient	Sartre	Dans <i>L’Être et le Néant</i>, Sartre développe la notion de mauvaise foi : il s’agit d’une manière consciente de faire comme si l’on n’était pas conscient de quelque chose. Sartre propose alors de requalifier en mauvaise foi le refoulement tel qu’il était conçu par Freud, que Sartre estime impossible.
Inconscient	Sartre	L'hypothèse de l'inconscient est contradictoire. Sartre conteste absolument l'hypothèse freudienne de l'inconscient, qui est, selon lui, contradictoire : si c'est la conscience qui effectue le refoulement, elle sait ce qu elle refoule. Il n'y a donc pas d'inconscient en l'homme ; Sartre lui substitue le concept de mauvaise foi exprimant le mensonge que la conscience se fait à elle-même : lorsqu elle choisit sciemment d'ignorer ce qui la dérange.
Inconscient	Schopenhauer	 Pas plus qu’un corps ne peut entrer en mouvement sans cause, une pensée ne saurait entrer dans la conscience sans une occasion qui l’amène, énonce Schopenhauer au début du quatorzième supplément du Monde comme volonté et comme représentation. Comment expliquer alors les pensées qui nous semblent dépourvues de raison ?
Inconscient	Simondon	La première relation de l’homme à la technique est pratique et non pas théorique. L’homme y développe des habiletés qui sont en grande partie soustraites à ses capacités de représentation, de verbalisation et de théorisation. Dès lors, ne faut-il pas étendre l’usage des termes inconscient et subconscient ?
Inconscient	Wittgenstein	Le travail critique de la notion de représentation, élaboré par Wittgenstein pendant les années 1930, conjoint à la distinction entre cause et raison, lui permet, lors de leçons données à Cambridge, de requalifier l’hypothèse freudienne, avec laquelle il discute de façon critique.
Justice	Alain	La justice et la force sont des concepts distincts. Mais Alain précise l'opposition : la force qui prétend se justifier est l'incarnation de l'injustice.
Justice	Aristote	Appliquer la loi avec souplesse. Le respect de la loi est, avec l’égalité, l’une des manières de caractériser la justice selon Aristote. Mais cela n’implique pas que la loi soit un principe absolu. Au contraire, la loi ne pouvant préciser les conditions particulières de son application, il faut lui associer un correctif, l’équité.
Justice	Aristote	Aristote définit la justice comme ce qui est conforme à la loi et à l'égalité. En ce sens, l'égalité se ramène à une proportion, c'est-à-dire à une égalité entre des rapports. Il faut alors distinguer deux formes de proportion, correspondant à deux sortes de justice.
Justice	Aristote	Aristote distingue, dans le livre V de l’<i>Éthique à Nicomaque</i>, différents types de justice : les justices distributive, corrective, rétributive, et la justice comme vertu. S’y ajoute la différence entre le juste, selon la nature, et le juste, selon la loi. Si chacune de ces espèces de justice a sa norme, il reste que, parfois, la recherche du juste consiste à ne pas appliquer strictement la règle, pour en préserver l’esprit.
Justice	Beccaria	Beccaria définit la justice comme le lien nécessaire des individus, sans lequel ces derniers retourneraient dans l’insociabilité ; il considère que tout châtiment qui excède la nécessité de conserver ce lien est injuste. Dès lors, comment apprécier l’intensité des peines ?
Justice	Bentham	L’opération juridique, propre au magistrat et, dans une moindre mesure, à l’avocat, est un acte de qualification : il s’agit, pour des faits donnés, de sélectionner, parmi différentes catégories juridiques, celle sous laquelle ces faits tombent, afin d’en tirer des effets de droit. La valeur de ces catégories est-elle absolue ?
Justice	Condorcet	Engagé dans la Révolution française, Condorcet souligne la tension qui peut exister entre la nécessité de donner aux lois une stabilité qu’exige le maintien de la paix et l’intégration, dans la société, de nouveaux citoyens qui n’ont pas consenti, dans le passé, aux lois de la majorité.
Justice	Hobbes	D’après Hobbes, le souverain, qu’il s’agisse d’un individu ou d’une assemblée, ne se contente pas de représenter le peuple, mais l’institue en procurant la paix à une multitude, autrement en guerre permanente. Les lois de cette puissance hors norme et à l’origine des normes peuvent-elles être injustes ?
Justice	Hobbes	Il n'existe pas de justice en dehors de la loi. Selon Hobbes, l'état de nature, défini par l'absence d'état et de lois, est un état de guerre de chacun contre tous. Dans cette situation, il n'y a pas de justice, mais seulement des rapports de pouvoir.
Justice	Hobbes	La justice n’est rien d’autre que la fidélité à nos contrats
Justice	Hobbes	Les particuliers ne sont pas juges des lois. Être rationnel, l’homme peut être tenté d’évaluer les lois et de n’obéir qu’à celles qu’il pense justes ou conformes à ses convictions. Pour Hobbes, une telle attitude serait dangereuse et oublierait que, en vivant dans une société politique, chacun a par avance accepté de conformer ses actions à la loi.
Justice	Kant	Rien ne nous force à supposer que la loi morale est fondée sur l’existence des dieux. Elle est bien plutôt un effet de notre nature d’êtres doués de raison.
Justice	Kant	Si la justice corrective suit un principe d'égalité, comment le traduire dans la punition des crimes ? La sanction doit-elle être équivalente à la faute ? Dans ce texte, Kant affirme ce principe en faisant référence à la loi du talion, tout en apportant des conditions permettant de le distinguer de la vengeance : Kant indique alors qu il faut infliger un châtiment égal à la faute.
Justice	Leibniz	La justice peut être définie par une manière adéquate de juger. C'est alors le point de vue qui importe, avant le contenu de la décision. Dans ce texte, Leibniz définit ainsi la justice par une forme de réciprocité : son principe est de se mettre à la place d'autrui.
Justice	Malebranche	S’opposant aux théoriciens du contrat social et aux sceptiques, Malebranche affirme que, loin d’être une convention relative, la justice est un ordre absolu renvoyant à Dieu : il existe une justice absolue.
Justice	Marx	La désobéissance civile reste une contestation partielle et locale, qui préserve les structures fondamentales du pouvoir. C’est pourtant ces structures-là qu’il s’agit de transformer en profondeur : l’action politique efficace ne peut être que révolutionnaire.
Justice	Mill	 Il y a autant de différences d’opinion et autant de discussions sur ce qui est juste que sur ce qui est utile à la société, remarque Mill dans <i>L’Utilitarisme</i>. Ainsi, plusieurs thèses distinctes concernant le fondement et les limites du droit de punir sont admissibles, tout en demeurant mutuellement incompatibles. Comment trancher ?
Justice	Montesquieu	Le positivisme juridique consiste à soutenir que la légitimité se réduit à la légalité. À une telle conception, Montesquieu oppose un argument construit à partir d’une compréhension, propre à <i>De l’esprit des lois</i>, de la loi comme relation. Dans quelle mesure y a-t-il une équité antérieure aux lois instituées par les hommes ?
Justice	Pascal	La justice paraît s'opposer absolument à la force. Mais si l'on reconnaît la relativité de la justice et si l'on s'intéresse à son efficacité, les choses deviennent différentes. C'est ainsi que Pascal montre que toute justice stable procède de la force. La justice sans la force est impuissante.
Justice	Pascal	La nature est illisible : elle ne saurait fonder la légitimité du droit. Sous cette thèse anodine se dissimule une critique : les grandeurs d’établissement, c’est-à-dire les hiérarchies bénéficiant d’une large reconnaissance sociale, ne tirent leur légitimité que d’un ordre politique contingent et relatif. Faut-il en déduire que les grandeurs d’établissement sont illégitimes ?
Justice	Pascal	S'inspirant des sceptiques, et de Montaigne en particulier, Pascal met en avant la relativité de la justice. Non seulement les lois varient suivant les lieux et le temps, mais aucune ne se retrouve dans tous les systèmes juridiques.
Justice	Rawls	Dans la <i>Théorie de la justice</i>, Rawls souligne que la conception de la justice formelle, l’application régulière et impartiale des règles publiques constituent l’État de droit quand elles sont appliquées au système légal. En découle une réflexion sur les conditions de la légitimité des lois et des institutions.
Justice	Rawls	Le contrat social ne doit pas être vu comme un pur acte de nécessité, mais déjà comme un acte éthique, qui engage certaines valeurs. À l’intérieur même de notre engagement pour vivre ensemble se pose déjà la question de savoir comment répartir les différents biens sociaux, indépendamment de nos caractéristiques particulières. De ce point de vue, l’idéal de justice n’est aucunement postérieur au contrat social, mais le constitue.
Justice	Rawls	Rawls pense la justice à partir d'une forme particulière de réciprocité : l'équité. Cette dernière est au fondement de la détermination des principes de justice : ce qui est juste, c'est ce que les hommes ont rationnellement choisi à partir d'une situation équitable.
Justice	Ricoeur	Polémiquant contre Hobbes, qui cherche à expliquer l’existence des institutions judiciaires par le gain de sécurité qu’elles procurent, mais aussi contre Locke, qui tend à gommer la distinction entre l’état de nature et l’état civil, et enfin contre Rousseau pour qui la seule cessation de l’état de nature est le symptôme d’un échec de l’humanité, Ricoeur promeut le concept de reconnaissance mutuelle comme enjeu principal et positif de l’instauration de la justice.
Justice	Rousseau	Pour Rousseau, l’ordre social est un droit sacré, qui sert de base à tous les autres. Cependant ce droit ne vient pas de la nature ; il est donc fondé sur des conventions. Afin de souligner le caractère artificiel du droit et de chercher le critère de sa légitimité, Rousseau montre l’absurdité d’un droit fondé sur la force.
Justice	Rousseau	Pour Rousseau, non seulement force et droit se distinguent, mais la force ne peut fonder le droit. Ces deux concepts relèvent de catégories fondamentalement différentes : aucune obligation ne saurait être justifiée par la supériorité physique : la force ne fait pas le droit.
Justice	Sophocle	La justice positive est inférieure à la justice divine
Justice	Spinoza	Dans le <i>Traité politique</i>, publié après sa mort par ses amis, Spinoza montre que la concorde et la paix ne s’établissent que dans la mesure où gouvernants et gouvernés – qu’ils agissent de bon ou de mauvais gré – n’en mettent pas moins leur conduite au service du salut général. Au chapitre vii, Spinoza pose la question d’une indépendance de la justice face à l’éventuel arbitraire du pouvoir politique.
Justice	Thoreau	La désobéissance à l’institution judiciaire est légitime quand elle est publique et assumée
Justice	Thoreau	Premier théoricien de la désobéissance civile, Thoreau considère que l’individu ne peut pas renoncer à son droit de regard sur les lois. Au contraire, à partir du moment où l’État agit aussi en son nom, le citoyen doit veiller à ne pas devenir lui-même l’instrument de l’injustice qu’il condamne : il ne faut donc pas consentir aux lois injustes.
Justice	Tocqueville	Tocqueville s’efforce, à la fin de De la démocratie en Amérique, d’identifier les institutions susceptibles de protéger, voire de renforcer, les libertés individuelles. Après avoir insisté sur l’importance des corps intermédiaires et de la liberté de la presse, ne convient-il pas d’examiner la valeur de la règle de droit ?
Justice	Weil	Obligation n’est pas contrainte : alors que la contrainte exprime une violence, l’obligation, étymologiquement, désigne un lien renforcé par une parole donnée. Ainsi l’obligation se détache-t-elle de la force, pour instaurer un ordre de droit. Ne peut-on pas aller plus loin ? La notion d’obligation ne précède-t-elle pas le droit ?
Langage	Aristote	Dans la <i>Rhétorique</i>, Aristote distingue trois modes de persuasion : par le vrai et la démonstration (<em>logos</em>), par l’excellence du caractère du locuteur (<em>ethos</em>) et par l’éveil des passions de l’auditeur (<em>pathos</em>). Aristote traite des aspects de la persuasion par les passions : celui de la puissance de la voix, de l’intonation et du geste, les trois composantes de l’action oratoire.
Langage	Bacon	Nous devons rester maîtres des mots. Le langage ordinaire, fixé au fil des siècles par la culture et les échanges, est marqué en profondeur par les erreurs du passé ; il oppose donc au progrès du savoir une extraordinaire résistance. Pour la surmonter, nous devons pouvoir réformer la langue de façon volontariste.
Langage	Benveniste	L’oeuvre de Benveniste a posé des jalons essentiels dans la constitution des sciences du langage, en reformulant et en proposant des solutions à des difficultés identifiées de façon ancienne. Pour la relation du langage à la réalité, Benveniste postule une primauté de la parole sur le réel.
Langage	Bergson	Dès l’<i>Essai sur les données immédiates de la conscience</i>, Bergson soutient que la pensée demeure incommensurable avec le langage dans la mesure où le langage, général, ne saurait décrire la vie de la conscience, toujours singulière. Dans <i>Le Rire</i>, Bergson prolonge cette analyse en dérivant la généralité du langage des caractéristiques de la vie pratique, de la manière dont nous agissons au quotidien et en société, indifférents à la texture singulière des choses.
Langage	Bergson	Les étiquettes du langage masquent la réalité. Dans son usage utilitaire, intéressé, le langage commun, prosaïque, laisse échapper ce que les choses, aussi bien que nos sentiments, ont d'unique, de singulier.
Langage	Bergson	Les mots sont des étiquettes grossières qui nous masquent la réalité
Langage	Berkeley	Berkeley discute la thèse selon laquelle la faculté de former des idées abstraites, exprimées par des mots généraux, serait la propriété distinctive de l’intelligence humaine. Les idées abstraites étant difficiles à concevoir – comme l’idée de la couleur, à laquelle n’est attachée aucune couleur particulière –, est-il possible d’analyser la signification des mots généraux sans postuler l’existence de telles idées ?
Langage	Berkeley	Le langage ne sert pas seulement à nous communiquer des idées à propos des choses. Il peut également servir à nous manipuler dès lors que nous sommes habitués à réagir à ses mots, même quand ils ne renvoient à rien de précis ni de réel. Le même mécanisme est à l'oeuvre dans l'argument d'autorité.
Langage	Condillac	Critiquant une tradition cartésienne qui attribue à l’être humain des idées innées, Condillac propose une démarche génétique qui vise à éclairer les modalités de formation de nos connaissances. Dans cette perspective, le langage est autant un instrument qu’un obstacle, dont il convient de mesurer l’importance.
Langage	Condillac	La pensée naît de l'échange langagier. Seuls les signes arbitraires permettent de développer la pensée. De tels signes ne peuvent être employés que lorsque l'homme a compris ce que c'est qu un signe, par l'usage des signes accidentels et naturels dans la communication sociale. La pensée ne peut donc précéder le langage.
Langage	Cournot	L’oeuvre de Cournot constitue une réflexion critique sur les outils de la connaissance scientifique et la manière dont la science ordonne ses connaissances. Le langage ne serait-il pas, par nature, cause d’une inadéquation de la pensée à son objet ?
Langage	Cournot	Une langue ne peut refléter parfaitement la diversité du monde et des sentiments. Mais l'art de l'écrivain, comme l'expressivité du langage oral, compense ce défaut. Ainsi la langue parfaite existe, c'est celle que l'on parle
Langage	Descartes	Le langage est le signe de la pensée
Langage	Descartes	Un véritable langage doit témoigner de la pensée. La communication animale, qu elle soit naturelle ou résultat d'un dressage, n'est pas vraiment un langage, car elle n'exprime que des états du corps et des passions, et non un rapport réfléchi de la pensée à elle-même. Si les animaux ne parlent pas, c'est que, n'ayant pas d'âme, ils ne pensent pas.
